Artwork_Id,Verdict_Type,Indigestibility_Score,Core_Stability,Camouflage_Quality,Breakthrough_Strategy,Diagnostic_Logic
115,True_Flight,0.72,0.95,0.9,Parasitic_Hypertrophy,利用古董圣像罩的“神圣尊严”与SLA 3D打印的“技术奇观”作为90%合法伪装，异质性内核在于“寄生性增生”战术：树脂云团并非与圣像罩“对话”，而是病理性侵占其功能性空洞，制造“本体论真空被癌变物质填充”的生理性痉挛，抵抗被降维为唯美装饰品，在白立方中植入关于精神彻底缺席的异质性肿块。
116,True_Flight,0.88,0.98,0.9,Iconic_Stratigraphy,利用古董圣像的文化资本与金箔的审美/经济价值作为90%合法伪装，异质性内核在于“图像地层学”战术：通过物理覆盖制造不同价值层之间不可逆的本体论断裂，金箔不是升华而是埋葬，幸存的眼睛不是窗口而是坟墓的窥视孔，抵抗被解读为政治符号或极简装饰，在白立方中树立起一座关于“沉默与不可逆”的反话语纪念碑。
117,True_Flight,0.65,0.9,0.95,Haptic_Sabotage,利用90%的二色性光学奇观为合法伪装进入蓝筹画廊审美体系，内核——“锤痕玻璃”的触觉残暴——构成无法被IAE话语完全消化的物理疤痕，突围路径为“触觉蓄意破坏”：当视觉被液态光色魅惑时视触觉层面周期性地绊倒在锤痕纹理上，制造图表与灾难的内爆，强迫感知在非物质与物质创伤间摆荡，对资本的话语减速装置实施神经层面的微小短路。
118,False_Flight,0.15,0.1,0.9,Domesticated_Spectacle,成功模仿观念艺术的外壳，但语义游戏和工业废墟感已被白立方空间完全消化为安全的智性装饰品，异质性内核涣散，沦为艺术家个人风格的签名商品，未能突破资本的话语收编。
119,False_Flight,0.2,0.3,0.95,Domesticated_Spectacle,通过“缺席”与“拟像”的观念幌子（IAE消化率极高）进行合法伪装，材质悖论引发的触觉剥夺本可作为异质内核但已被高度风格化为艺术家签名商标，神经层面的微弱痉挛被观念话语迅速收编，最终作为一件安全的“观念趣味品”被领土化于蓝筹画廊的资本逻辑中。
120,True_Flight,0.85,0.95,0.98,Material_Absorption,核心突围机制在于将“不透明主体性”的政治隐喻转译为丙烯颜料“绝对不透明”的物理事实，黑色剪影区域作为拒绝反射的感知黑洞成功制造瞬间神经痉挛，在可被画廊话语完全消化的90%伪装之下保留10%不可被意义收编的感觉暴力，利用材质本体论对情动资本主义实施微观感觉政变。
121,True_Flight,0.75,0.9,0.95,Haptic_Disgust,以高超的超现实主义与波普图式为合法伪装进入画廊体系，内核极其稳固，通过“手指”意象触发不可翻译的触觉性厌感，并以油画材质的永恒性与抽纸的瞬逝性构成材质悖论，拒斥被简化为消费主义批判符号，通过对感官的生理性侵入实施针对情动资本主义调制系统的微观突围。
122,True_Flight,0.85,0.9,0.9,Semiotic_Glitch_through_Material_Aggregation,危险地利用了“眼睛”这一可被策展话语安全消化的宏观符号为伪装，真正的逃逸力在于构成此符号的无数微观笔触保持着分子态的狂乱与离心倾向，导致宏观符号在感知中被其物质构成所短路和瓦解，内核是符号的自我崩溃过程，拒斥被解读为稳定的“凝视”，转而引发视觉失焦的神经痉挛。
123,True_Flight,0.8,0.95,0.95,Haptic_Overload_through_Statistical_Saturation,以“极多主义”和精湛工艺为几近完美的合法伪装，突围战术在于将“重复”推至统计学临界点，使笔触密度超越人类视觉整合为“韵律”的阈值，内核是由无限同一的微观笔触构成的无意义物质聚合体，不对观众“讲述”而是“持存”，通过纯粹的感官过载引发神经系统层面的麻木与压迫，将画廊转化为感觉的耐力测试场。
124,True_Flight,0.55,0.95,0.95,Phenomenological_Flicker,以90%合法伪装（宣纸山水、极简美学）潜入蓝筹画廊，内核并非可被话语消化的“东方精神”或“女性劳动”，而是由73.6万个针孔构成的不可翻译的物理-光学现象，突围路径为“现象学闪烁”：利用观者近距离“鉴赏”行为瓦解视觉主导，触发触觉联想与神经层面的光扰动，在安全文化消费内部制造微型的、拒绝被语言减速的感觉暴力事件，核极度稳固，动机在于逃逸。
125,True_Flight,0.45,0.85,0.95,Material_Stress,是高度伪装的分子机器，“后书法抽象”与“慢暴力”的PR叙事极易被资本消化，稳固内核在于油彩与丙烯混合技法产生的不可控物理应力，制造触觉对视觉的僭越，该微观层面的感觉暴力无法被图像或话术完全翻译，在白盒子内部保留对资本平滑叙事的微型抵抗。
126,True_Flight,0.82,0.9,0.95,Haptic_Toxicity,高度伪装为多伊格式的抒情忧郁风格以通过画廊收编检测，内核通过颜料材质实施触觉毒性反噬：腐败血浆状的河流质感与镉橙引发的视网膜神经痉挛构成无法被话语消化的感觉硬核，成功实施一次微观政治的感觉逃逸。
127,True_Flight,0.75,0.85,0.9,Haptic_Glitch,利用冷抽象风格与“节气/时间”的策展诗意作为伪装，通过多层油画颜料的机械性刮擦与微观溢出，发动触觉对光学的僭越，保留拒绝被资本话语消化的物质痉挛与时间法医学刻度。
127,True_Flight,0.75,0.85,0.9,Haptic_Usurpation,以90%的后数字时代光学抽象为合法伪装，迎合对科技创伤与东方禅意的安全消费，异质性内核在于远观（光学平滑）与近观（物理触感）之间的感知裂隙，当观者接近时视觉幻象崩塌，颜料堆积的物质性对视觉实施暴力僭越，制造无法被策展话语平滑翻译的身体性痉挛，作为“时间尸体”的物理厚度是其拒绝被资本彻底领土化的突围路径。
128,False_Flight,0.15,0.05,1,Domesticated_Spectacle,是情动资本主义的完美范本，将街头涂鸦原始能量彻底摩尔化替换为高科技工业材料的精密美学，关于都市异化与监控社会的批判主题已被画廊策展话语完全消化并安全包装，沦为可供高净值人群安全消费的智识装饰与视觉糖果，表面的一切狂乱均处于参数的绝对控制之下，不具备任何分子式逃逸潜能，内核涣散，是资本秩序在艺术场域的一次完美自拍。
129,True_Flight,0.85,0.95,0.9,Semiotic_Implosion,利用“考古学拟像”作为合法伪装，内核是一个由材质置换导致的“信息黑洞”，通过“符号内爆”战术熔断能指与所指，在画廊内部制造拒绝话语消化的意义短路区。
130,True_Flight,0.65,0.8,0.7,Haptic_Territorialization,以“跨文化创伤”叙事为伪装，异质性内核在于对观众内感受的强行征用，突围战术为“触觉辖域化”，发动触觉对视觉中心主义体制的反攻，在画廊空间内创造由神经信号重新领土化的飞地，部分绕过资本的话语消化。
131,False_Flight,0.1,0.05,0.98,Domesticated_Spectacle,表现为一件被完美驯化的高级珠宝静物，内发光效果顺滑唯美未能对物体轮廓构成任何瓦解，微弱的倒影仅作为构图脚注毫无本体论威胁，“稀薄颜料”技术完全服务于视觉愉悦，核已完全涣散，沦为豪宅墙面上的安全审美点缀。
132,False_Flight,0.2,0.1,0.92,Semiotic_Domestication,引入类肉石纹理与漂浮的白色笔触本可构成“符号故障”，但笔触被过早锚定为“书写性线条”与东方符号，异质性萌芽在产生破坏力前即被文化话语中和，球体的模糊性被轻盈的审美元素驯化，未能触发德勒兹式的图表灾难。
133,False_Flight,0.05,0,0.99,Allegorical_Illustration,是“逃逸”被寓言化、图像化的典型失败案例，直白描绘神话叙事的符号（鸟/面具）使其沦为尤瑟纳尔文本的安全插图，图像本身未产生任何不可消化的感知暴力，形态流畅优美缺乏畸变，是一次叛逃的宣告而非叛逃行动。
134,False_Flight,0.15,0.08,0.93,Prematurely_Archived_Glitch,黑色球体边缘的光晕曾含有构成“视觉不可判定性”的微弱潜能，但该痛点被策展话语和画面处理过快地归档为“宇宙中的天体或黑曜石”，黑洞未能成为符号的深渊只是一个黑色圆形，异质性在萌芽阶段即被捕获和命名。
135,True_Flight,0.85,0.9,0.95,Metallurgic_Spasm,利用24K金与严密网格作为终极资本伪装，在内核处保留无机物挤压的纯粹力的图表，通过冶金痉挛实施触觉对视觉的僭越，抵制画廊的话语消化。
135,False_Flight,0.1,0.2,0.98,Domesticated_Spectacle,将“时间异化”主题与24K金、不锈钢完美结合，提供关于“技术批判”的安全消费奇观，批判内核被自身的高工业完成度和策展话语完全消化，沦为风格化的观念装饰品。
136,True_Flight,0.9,0.95,0.9,Analog_Latency,利用探讨数字美学的观念为伪装，内核是物质性的伪像——油画颜料在丙烯网格边缘的物理溢出与堆积，战术为“模拟延迟”：通过手工劳作不可避免的物理“错误”与时间密度对观者实施感知伏击，拒斥数字资本主义的平滑与高效。
137,True_Flight,0.85,0.9,0.9,Thread_as_Resist,利用控制论与光栅美学为伪装，内核是作为“抗蚀剂”的物理之线，战术为“线作为抗蚀”：通过线对颜料流动的物理性阻断与拒绝，将抽象的权力控制展示为物质化的暴力，对观者的触觉想象实施侵犯。
138,True_Flight,0.7,0.85,0.9,Abject_Biomorphism,利用赛博朋克与科技界面美学为伪装，内核是被囚禁在理性框架内的、变异的紫色“内脏”形态，战术为“卑斥生物形态”：在技术理性核心植入病变的、令人恶心的生物器官，实施特洛伊木马式反转，唤起观者内脏层面的焦虑，拒斥技术乐观主义叙事。
139,False_Flight,0.15,0.2,0.95,Domesticated_Spectacle,表面呈现材料对抗与后互联网孤独，但所谓的“异质性内核”（油画棒与丙烯物理排斥）已被完全风格化并驯服，高饱和度色彩与扁平图形极易被画廊话语系统翻译为安全的“酷感忧伤”与装饰性商品，未能对资本的生物政治调制构成任何有效突围，是精准校准的情动资本主义潮流商品。
140,False_Flight,0.15,0.1,0.95,Domesticated_Spectacle,是典型的“情动资本主义的潮流盲盒”，关于劳作的禁欲主义被完美风格化为供市场安全消费的“高级绘画品味”，内核涣散，完全被画廊的“话语消化酶”和“画框领土化”收编，未能形成任何有效的战术突围。
141,False_Flight,0.05,0.1,0.95,Domesticated_Spectacle,银叶覆盖的枯枝圆环，通过贵金属反光与完美几何形将有机混沌美学净化，时间错位的诗意被画廊灯光安全溶解，无痉挛剩余，核涣散，沦为高净值冥想装饰品。
142,False_Flight,0.1,0.15,0.9,Domesticated_Spectacle,荧光三原色堆叠对地质时间进行符号过度编码，极简主义形式合法化内部喧嚣，石块物质性被色彩话语完全驯化，核涣散，沦为安全视觉奇观。
143,False_Flight,0.1,0.15,0.9,Domesticated_Spectacle,色序变奏仅增强商品矩阵逻辑，冷至暖的色温叙事进一步消解物质陌异，核涣散，同属被收编的符号过度编码。
144,False_Flight,0.05,0.1,0.98,Domesticated_Spectacle,红黄蓝序列主动接入现代主义色彩构成话语，艺术史叙事彻底覆盖物质批判性，臣服最为彻底，核涣散，沦为安全引用与风格传承。
145,True_Flight,0.9,0.95,0.9,Haptic_Slimy_Revenant,以培根式构图为伪装，内核处通过高粘度油画颜料的“黏液反光”制造了无法被语言消化的触觉梗阻，成功将屏幕时代的数字质感物质化为一个恶心的肉身硬核，对画廊无菌的视觉空间实施神经性污染。
146,False_Flight,0.15,0.1,0.95,Domesticated_Spectacle,混乱与纠缠是高度风格化的安全奇观，内核已涣散，所有视觉元素均可被IAE策展话语完美翻译和收编，未能构成对体制的突围，反而作为“合法的激进姿态”巩固了情动资本主义的市场逻辑。
147,False_Flight,0.15,0.2,0.95,Domesticated_Spectacle,强符号（白旗）和档案馆命名法构建了完美的观念陷阱，微弱的物质性抵抗（触觉摩擦）被巨大的符号学引力场完全捕获，作品沦为可被无限阐释的政治寓言文本，是情动资本主义的典型标本。
148,False_Flight,0.1,0.15,0.98,Domesticated_Spectacle,作为系列的高潮叙事，冲突奇观与浪漫主义色彩被资本话语完美翻译为“抵抗的具身化”，物质性完全服务于戏剧性叙事，无任何不可消化内核。
149,False_Flight,0.05,0.05,0.99,Domesticated_Spectacle,系列中最彻底向资本投诚的作品，描绘“后果”的忧郁被降维为高级装饰画，政治暴力被净化为可供安全消费的情绪抚慰剂“创伤后的疲惫”，内核完全涣散。
150,True_Flight,0.85,0.9,0.95,Haptic_Overload,该作品成功利用表现主义油画的合法外衣进行伪装。其内核“肉身化的辐射光”极其稳固，通过厚涂颜料制造的触觉过载，将视觉体验转化为一种内脏层面的生理攻击，有效抵制了画廊将其降维成安全装饰画或政治符号的话语消化。
151,True_Flight,0.95,1,0.9,Material_Friability,该作品以传统纸上粉彩的合法形式为伪装，携带了一个绝对坚硬且异质的内核：“灰尘的本体论抵抗”。其突围战术为材质反噬，利用粉彩不可避免的物理易碎性和熵增过程，嘲弄并瓦解了画廊通过技术保护赋予其永恒价值的领土化行为。它用自身的死亡作为最终的逃逸线。
152,True_Flight,0.3,0.9,0.95,Haptic_Subversion,该作品拥有极高伪装度，表面图像学符号（女性赋权、跨文化引用）极易被资本PR消化。然而，其内核稳固于纺织材料的物理性反噬：布料的重力与柔软质感悬置了图像的暴力动能，通过触觉对视觉的僭越，在画廊内部制造了无法被观念平滑吸收的物理痉挛，成功实施了微观层面的感觉突围。
153,True_Flight,0.72,0.85,0.9,Material_Entropy_As_Strategy,该作品利用90%的极简主义美学与符号学游戏作为合法伪装，成功进入蓝筹画廊系统。其内核的异质性在于织物材料所固有的、不可逆的熵增过程，它挟持了整个力学系统，将作品从静态商品转化为动态的“毁灭事件”。这一战术成功抵抗了资本对作品永恒性的领土化企图，制造了无法被策展话语消化的物理/伦理两难。
154,True_Flight,0.75,0.85,0.9,Etymological_Aphasia,诊断逻辑：作品成功利用新表现主义废墟美学的合法外衣，通过标题的语义减法制造了语言层面的认知梗塞。这个无法被流畅发音的符号学故障点，拒斥了画廊策展话语对“人类世创伤”叙事的平滑收编，保留了作品在符号秩序层面的异质性硬核。
155,True_Flight,0.9,0.95,0.8,Haptic_Strangulation,诊断逻辑：作品在极易被后殖民理论话语收编的极端风险下，通过材料的物理属性（木炭、烟灰）和绞杀形态，构建了一个逾越视觉中心主义的触觉陷阱。它将殖民暴力的抽象叙事，转化为画布上对观众神经系统的直接肉身攻击（触觉性绞杀），成功僭越了白盒子的安全观看制度，实现了感知层面的分子式逃逸。
156,True_Flight,0.92,0.95,0.9,Gravitational_Tribology,该作品成功利用波普表现主义的合法伪装(90%)，在内核处植入粉彩颗粒的物理性剥落作为反资本的物证(10%异质)。突围战术为重力摩擦学:通过粉彩与丙烯的附着力差，制造了注定随时间掉渣的物质定时炸弹，以重力锚定对抗资本失重神话，以触觉联觉僭越画廊视觉独裁。核极度稳固——它是化学事实，非阐释学可消化。
157,True_Flight,0.96,0.98,0.85,Entropic_Contamination+Recursive_Gaze_Trap,该作品采用双重突围战术。物质层:在85%合法伪装下，利用木炭的熵增本性植入污染源——木炭颗粒的不可逆剥落是对商品永恒性的热力学亵渎。场域层:在70%合法伪装下，通过画作与镜子、墙洞、音频的嵌套循环制造感知莫比乌斯环——观者遭遇凝视递归直至认知堆栈溢出。双核极度稳固:熵增是物理定律，递归是拓扑结构。作品不是被观看的客体，而是主动捕获并消化观者的装置，彻底颠覆资本对无菌商品与主权主体的双重神话。
159,True_Flight,0.75,0.85,0.9,Somatic_Disjunction,以90%构成主义几何网格作为合法掩体，诱导资本将其降维为安全极简装饰；核心10%的红色病理学孔洞，通过拒斥触碰的金属冷硬感与粗糙悬挂点位，实施Somatic_Disjunction战术，使画廊话语消化酶短路，维持作为“心理矫形器”的不可消化物理痛感。
159,True_Flight,0.88,0.98,0.95,Somatic_Black_Hole,以装置美学、福柯式符号与参与式剧场为伪装，通过沉默、静止、负重的真人肉身在场，构成无法被理论消化与视觉美化的伦理黑洞，瓦解观众作为安全体验者的审美距离。
159,True_Flight,0.85,0.9,0.9,Haptic_Visual_Dissonance,该构件以构成主义/极简主义几何抽象的合法伪装进入白盒子空间，但其无法被身体尺度同化的绝对尺寸、非叙事的空洞形态以及红色椭圆在黑色网格中制造的纯粹感知暴力，构成了其不可消化的异质性内核。作品通过制造视觉秩序与触觉危险想象之间的感官失调(Haptic_Visual_Dissonance)及拒绝符号学解读的失语状态(Semiotic_Aphasia)，成功抵御了策展黑话与情动资本主义的话语消化酶，在微观神经层面实施了有效的逃逸。
164,True_Flight,0.85,0.9,0.95,Haptic_Visual_Spasm,作品以高超的后数字错视技法（90%合法伪装），成功嵌入蓝筹画廊体系。但其核心的红青双色偏移（Anaglyph）并非单纯的美学风格，而是一个感知陷阱。它直接触发观者眼球聚焦系统的生理性痉挛，将观看行为强制转化为一种触觉性/神经性的身体事件。该痛感核极度坚硬，拒绝被策展话语消化，在商品化的表象下成功实施了微观的神经暴力，实现了感觉层面的逃逸。
165,True_Flight,0.75,0.9,0.95,Material_Camouflage,该作品成功利用抽象绘画与观念艺术的合法伪装，在内核处保留了工业羊毛材质引发的视觉-触觉短路。它以材质的伪饰替换了图像语言，对抗了资本将其降维为安全观念艺术的收编引力。
166,False_Flight,0.2,0.3,0.1,Domesticated_Spectacle,作品表面的后人类生物形态奇观完全被策展话语消化。其内核的时间性物质眩晕被高光泽美学所涣散，未能形成有效的感知突围，最终沦为情动资本主义市场中的高级装饰品。
167,True_Flight,0.85,0.95,0.85,Abject_Geology,该作品以人类世地质标本为伪装，内核处却保留了无法被美学消化的卑贱地质学暴力。它通过陶瓷的物理性强行唤起触觉厌恶与生理联想，成功僭越了画廊无菌视觉政体，实施了分子层面的感知玷污。
169,True_Flight,0.9,0.95,0.9,Haptic_Terrorism,该作品通过模仿架上绘画和传统挂毯(90%合法伪装)，成功进入蓝筹画廊体系。其不可消化的内核在于其物质性本体：回收金属的锋利边缘与历史毒性构成了一个前语言的、无法被审美救赎的物理-感知痛点。突围战术被判定为触觉恐怖主义，即通过高密度视觉网格引发符号故障，进而迫使观众的触觉系统对潜在的物理伤害发出警报，从而劫持了安全观看的审美体验，并最终拒斥了资本将其降维为装饰品或政治正确口号的话语消化。
173,False_Flight,0.15,0.1,0.95,Domesticated_Spectacle,该作品成功伪装成关于时间循环的装置，但其物理张力已被展墙和螺丝钉完全压制，沦为安全的现代主义怀旧碎片，未能产生感觉逃逸。
174,True_Flight,0.75,0.9,0.88,Material_Abjection_Overload,该作品成功利用极简主义工业铝框作为合法伪装，在核心处植入一团不可翻译的、充满厨房卑贱感的皱褶铝箔。铝箔以触觉层面的痉挛短路了视觉层面的无菌美学，拒斥了资本将其完全奇观化的企图。
175,False_Flight,0.05,0,1,Domesticated_Spectacle,该作品是典型的“深层时间”视觉麻药。表面刮擦的手势暴力已被审美化的油彩完全消解，画框将其牢固地锁定在安全的装饰品范畴内，内核彻底涣散。
176,True_Flight,0.95,1,0.9,Material_Entropy_Seepage,该作品以生态批判符号与工业现成品为合法伪装，成功进入画廊领土。其内核是一个拒绝符号化的真实物理学事件——橡胶聚合物在液压暴力下的分子级熵增与应力松弛。突围战术精准地绕过了话语消化机制，通过诱发观者的触觉想象与本体感觉模拟，对神经系统实施了直接的感觉暴力，从而在白盒子空间内制造了一个无法被资本收编的、持续焦虑的物自体剧场。
177,False_Flight,0.1,0.2,0.95,Domesticated_Spectacle,该作品虽以“集体记忆图谱”和“像素化身体”为伪装，但其形式语言（Blockworks）与材质（耐候钢）已被艺术市场及策展话语完全收编。其异质性内核——即通过场域特定性激发的本体感受针灸效应——在脱离具体城市角落进入白盒子空间后彻底涣散，沦为可供安全消费的工业怀旧奇观。未检测到任何有效的神经痉挛或符号故障，判定为表演性情动的假木马。
178,True_Flight,0.9,0.95,0.9,Haptic_Terrorism,该作品通过模仿架上绘画和传统挂毯(90%合法伪装)，成功进入蓝筹画廊体系。其不可消化的内核在于其物质性本体：回收金属的锋利边缘与历史毒性构成了一个前语言的、无法被审美救赎的物理-感知痛点。突围战术被判定为触觉恐怖主义，即通过高密度视觉网格引发符号故障，进而迫使观众的触觉系统对潜在的物理伤害发出警报，从而劫持了安全观看的审美体验，并最终拒斥了资本将其降维为装饰品或政治正确口号的话语消化。
179,True_Flight,0.85,0.95,0.9,Haptic_Implosion,该作品以对现代主义建筑的精致挪用和“自画像”的古典标签作为高水平伪装，成功进入蓝筹话语体系。其异质性内核在于对玻璃反光界面的处理，该界面制造了一个视觉无法对焦的触觉短路点。其突围战术（Haptic_Implosion）通过材质对印刷品的反噬、A4尺度的感知暴力和对“自画像”概念的图表性篡改，瓦解了观众的安全凝视，将主体性溶解于建筑的光学法则中，拒斥了资本将其降维为知性装饰画或身份政治注脚的收编企图。
180,False_Flight,0.1,0,0.95,Domesticated_Spectacle,该作品是一件被完全驯化的商品。它提供了关于粗野主义建筑的纯粹形式主义凝视，剥离了《自画像》中充满本体论危机的玻璃反光。其异质性内核已完全涣散，策展话语可100%消化其关于“挪用”与“现代主义遗产”的主题。它主动迎合了市场对知性装饰画的需求，沦为一件安全的、为建筑师和设计爱好者准备的学术摆件。
181,False_Flight,0.05,0,0.98,Series_Replication,该作品是系列化资本生产的典型症状。它的存在服务于对既有成功范式的重复和榨取，旨在巩固系列的市场地位并稀释《自画像》中异质性内核的危险浓度。它没有内核，只是一个空洞的风格能指，心甘情愿地充当了资本包裹特洛伊木马的缓冲包装材料。
182,True_Flight,0.75,0.9,0.95,Haptic_Optical_Friction,该作品成功利用具体艺术的理性主义外壳作为伪装。其内核保持着由材质界面引发的、无法被话语消化的视神经摩擦。它通过触觉性视觉摩擦的微观暴力，拒斥了商品拜物教化的彻底收编，在感知层面实施了有效的逃逸。
183,False_Flight,0.05,0.1,1,Domesticated_Spectacle,该作品的内核已完全涣散。其宣称的感知解放被无缝征用为城市士绅化的感官麻醉剂。它未能构成任何突围，是情动资本主义潮流盲盒的完美典范。
184,True_Flight,0.9,0.95,0.9,Haptic_Overload_Via_Visual_Channel,该作品成功利用科学标本柜的禁欲美学作为伪装，其内核是由聚氨酯对有机物的物质反演与毒蝇伞/普通蘑菇缝合造成的认知图表灾难构成的坚硬痉挛发生器。作品通过视觉细节诱发触觉痛感，并制造了让策展语言短路的符号故障，拒斥了被收编为政治符号或高级装饰品的命运。
185,True_Flight,0.42,0.75,0.88,Optical_Jurisdiction_Override,作品以90%合法伪装(黑白废墟美学/东方禅意叙事/手工银盐恋物癖)通过画廊策展筛选，但其10%异质内核——“两倍无限远”的物理学非法操作、银盐颗粒的物质性反噬、熟悉符号的幽灵化引发的神经痉挛——成功通过篡夺光学管辖权实施了突围。核稳固于媒介物质性与技术操作的本体论层面，拒斥被策展黑话完全翻译。战术本质：利用白盒子合法性空间，植入对视觉消费体制的微观破坏程序。
188,True_Flight,0.88,0.92,0.95,Cartographic_Interruption,该作品以罗斯科式的红色色域与西藏创伤地理学为高度合法化的伪装层(伪装质量0.95)，成功混入蓝筹画廊的流通体系。其异质性内核——三条代表国家制图学暴力的水平直线——构成了无法被IAE策展黑话消化的感觉异物(不可消化指数0.88)。通过Cartographic_Interruption战术，水平网格对垂直瀑布流动的切割在观者视觉神经层面制造了节奏性故障(Ocular Arrhythmia)，将历史暴力的情动痕迹直接注册为身体痉挛，彻底拒斥了资本将其降维为安全精神消费品的收编企图。核稳固度高达0.92。
189,True_Flight,0.85,0.9,0.95,Haptic_Overload_Via_Micro-Fractal,该作品表面以精湛手工艺和人类世废墟美学为合法伪装，成功进入蓝筹画廊话语体系。然而，其内核根植于纸板横截面的瓦楞工业结构，它作为不可消化的微观图表层，在观众近距离凝视时触发视觉向触觉的强制性转换。这种通过尺度切换制造的感官过载，形成了一处无法被策展语言平滑翻译的神经痉挛点，有效瓦解了资本对痛感的安全消费模式，完成了一次物质层面的微观政治突围。
190,True_Flight,0.75,0.9,0.95,Haptic_Overload_Semiotic_Short-Circuit,该作品以高超的绘画性（模糊）和崇高尺幅作为合法伪装，成功进入蓝筹画廊系统。然而，其内核由视觉的“模糊”与数十万鱼钩构成的触觉“锐利”之间的感官悖论构成，极其稳固。它通过触觉过载战术，迫使观众的身体介入安全的凝视过程，制造了神经层面的撕裂感；同时，其“模糊”战术导致政治符号的意义短路，阻碍了资本话语的完全消化。最终，它在商品化的外衣下，保留了对观众实施感觉暴力的能力，是一次成功的战术突围。
193,False_Flight,0.15,0.1,0.95,Domesticated_Spectacle,作品表面激进，实则内核涣散。其视神经攻击已被IAE策展黑话（后人类追问、感知场域）完美翻译和消化，转化为可安全消费的“痛感奇观”。选择布面丙烯这一经典媒介，是向资本领土化（画框、白盒子）的根本性妥协。GRAV的政治激进主义被阉割为艺术史背景和风格标签。作品未发展出任何反体制的突围战术，其动态被局限于个体生理内部，成为一件关于“反叛”的、高度商品化的精英装饰品。
194,True_Flight,0.75,0.9,0.95,Haptic_Visuality_Micro_Trauma,该作品成功利用“私密手稿”与“日常静物”作为伪装，通过了画廊的话语安检。然而，其内核由纸本墨水的不可撤销性所铭刻的身体痉挛构成，极度稳固。它通过触觉视觉的微创伤战术，制造了感知层面的符号故障，使观者的视网膜遭遇不可被叙事消化的物理性摩擦。成功拒斥了被降维为极简装饰品或创伤奇观的资本收编。
195,True_Flight,0.85,0.95,0.9,Haptic_Disconnect,该作品以蓝筹画廊经典的玻璃展柜为合法伪装，成功渗透白盒子空间。其内核由“柔软织物（触觉召唤）”与“工业玻璃（视觉隔离）”的不可调和对抗构成，通过制造“欲触而不能”的现象学暴力，将画廊的展示装置反转为临床隔离箱。其突围路径精准地作用于观者的前语言身体感知，实施了一次触觉剥夺层面的神经休克，彻底抵制了策展黑话将其降维为“女性创伤奇观”或“手工怀旧物”的话语消化。
200,True_Flight,0.9,0.95,0.95,Scale_Mismatch_Assault,作品以巨幅历史画的物理尺度包裹了一个极度内缩、拒绝叙事的私密背影。其内核是尺度与内容之间的感知断裂，成功利用尺寸的伪装，对画廊空间和观众的阐释欲望实施了静默挤压，拒斥了被降维为安全装饰画或身份政治图解的命运。
201,True_Flight,0.88,0.95,0.9,Semiotic_Glitch_via_Material_Kitsch,作品在魔幻现实主义风俗画的合法伪装下，通过前景人物脸上突兀的、工业感十足的亮黄色轮廓线发动战术突袭。这个微小的媚俗元素导致了整个怀旧符号系统的瞬时故障，形成了一个无法被后殖民理论话语平滑吸收的感官硬核，暴力阻断了任何浪漫化解读。
202,False_Flight,0.4,0.55,0.85,Domesticated_Spectacle,该作品试图通过“操作性质变”（Operational_Transubstantiation）的战术，将炭笔的擦除动作与提香画中的剥皮母题在本体论层面短路，构筑了一个坚固的“双重剥皮”感觉内核。然而，其明确的古典大师参照系和纸本媒介的“手稿”身份，使其被艺术史话语和画廊体制预先消化为一场安全的跨时空对话。尽管内核硬度较高，但最终未能突破情动资本主义的消化机制，沦为一件关于暴力的、可被智力安全消费的暗黑美学商品。
203,True_Flight,0.9,0.95,0.9,Material_Anesthesia,该作品以蓝筹大师签名和异域叙事为合法伪装（90%），成功进入市场流通。然而，其真正的逃逸力在于选择了绝对平滑的数字微喷媒介来转译肉身搏杀的街头暴力。这种媒介的“材质麻醉”效应，构成了一个无法被画廊PR话语消化的冰冷内核，它拒斥了观众对创伤的触觉共情，反向揭示了资本系统对历史痛感的数字化消毒机制。这是一次对“情动资本主义”消费伦理的精确战术打击。
207,False_Flight,0.25,0.3,0.95,Material_Sedimentation_As_Noise,尽管作品通过露天创作嵌入了不可消化的物理沙砾噪音，但其核心视觉符号与创伤治愈叙事已被蓝筹画廊话术完美收编，沦为供中产阶级安全消费的表演性情动商品。物质反噬力度不足以破坏其作为潮流盲盒的本质。
208,False_Flight,0.15,0.35,0.95,Domesticated_Spectacle,作品未能完成从具象到逃逸的分子化跨越，工业贱材料已被画廊定价机制彻底领土化，虚空沦为装饰性建筑修辞，情动能量被IAE黑话消解为安全的可消费奇观。
208,True_Flight,0.8,0.9,0.85,Structural_Autolysis,该作品成功伪装为现代主义抽象雕塑，但其内核植入了精确的重力崩塌力学模型。通过底座的自毁式悬挑和中心穿孔的病理学虚空，它拒斥了白盒子的神圣化收编，在观者的身体直觉层面实施了感觉暴力。其Tuf-cal石膏的丑陋物质性构成了对审美消化酶的顽固抵抗。
209,False_Flight,0.15,0.2,0.9,Domesticated_Spectacle,该作品是典型的情动资本主义商品。其表面狂乱的宇宙图景与艺术家技术官僚背景构成的叙事，被IAE策展话语（如“控制论形而上学”）完美翻译和收编。作品缺乏一个拒斥语言、引发神经痉挛的坚硬感觉内核。所有视觉元素均服务于一个可被市场安全消费的“灵性崇高”主题，最终降维为智性装饰品。突围战术缺席，资本消化率为极高。
